idEstado,estado,idMunicipio,municipio,ciudad,zona,cp,asentamiento,tipo
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20115,"Valle de Santa Teresa",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20115,"Villa de las Trojes",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20115,"Villas de San Nicolás",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20116,"La Troje",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20116,"San Telmo Residencial",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20116,"Santa Fe",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20116,"Trojes de Alonso",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20117,"Aguascalientes 2000",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Cerrada de la Mezquitera",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Cerrada de La Misión",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Cerrada del Valle",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Cerrada El Molino",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Las Misiones",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Las Trojes",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Los Jarales",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Misión de Santiago",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Misión del Campanario",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Residencial Santa Clara",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,Terzetto,Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Trojes de Cristal",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Trojes del Sol",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Valle del Campanario",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20118,"Valle Real",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20119,"Lomas del Campestre 2a Sección",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20119,"Los Calicantos",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20119,"Villas del Campestre",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20120,"Jardines de la Concepción",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20120,"Los Bosques",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20120,"Rinconada los Bosques",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20123,"Arroyo El Molino",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20124,Galerías,"Zona comercial"
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20124,"Residencial Altaria",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,NULL,Rural,20126,"Cartagena 1947",Fraccionamiento
